rate	title	country	rating_sum	year
6.3	闪电十一人GO VS 纸箱战机W	日本	23.0	2012
5.2	清酒的秘密	日本	25.0	1996
7.2	关东浪子	日本	25.0	1963
8.0	节日的准备	日本	26.0	1975
6.3	金田一耕助：死假面	日本	26.0	1986
5.0	少林寺拳法	日本	27.0	1975
6.7	机器人少女Z 第6.5话	日本	28.0	2014
6.4	夕阳中红着的脸	日本	29.0	1961
6.6	日本金融破灭·桃源乡的人们	日本	29.0	2002
6.5	幻之湖	日本	29.0	1982
7.1	肖像	日本	29.0	1948
3.8	丧失和谐之音	日本	29.0	2011
7.0	小津の秋	日本	29.0	2007
5.5	鲁邦三世：念力珍作战	日本	29.0	1974
6.6	捕鲸	日本	29.0	2015
7.2	老板靠边站	日本	30.0	2001
7.4	雁之寺	日本	30.0	1962
7.4	天国之吻	日本	30.0	1999
4.4	押切怪谈	日本	30.0	2000
6.9	永远的1.8秒	日本	30.0	2007
6.3	机甲战线 OVA3	日本	30.0	2007
5.8	生化体	日本	30.0	1998
7.8	小雨的梦中世界	日本	30.0	2005
6.5	妖兽传说	日本	31.0	1996
7.8	缩图	日本	31.0	1953
6.8	写真记87	日本	31.0	1987
6.6	花的荣耀	日本	31.0	2008
7.9	同胞	日本	31.0	1975
6.4	剧场版 炎神战队轰音者vs激气连者	日本	31.0	2009
6.6	雪肌之女	日本	31.0	1982
6.3	机甲战线 OVA2	日本	31.0	2006
7.7	衰男向前冲	日本	31.0	2002
6.7	黑道沉沦	日本	31.0	1998
6.9	闭眼闪耀	日本	31.0	2011
6.7	御枪拜借 醉鬼小藤次留言	日本	31.0	2013
6.3	怪談本所七不思議	日本	31.0	1957
7.2	二度不醒来之摇篮曲	日本	32.0	1985
7.6	我的刽子手	日本	32.0	1968
5.8	那天以前	日本	32.0	2008
6.7	大魔神	日本	32.0	1966
5.0	二重心臓	日本	32.0	2008
7.6	博徒外人部隊	日本	32.0	1971
7.0	婚约三羽鸟	日本	32.0	1937
7.6	与赴死妻子的旅路	日本	32.0	2011
6.9	蒸发旅日记	日本	32.0	2003
5.5	镜中幽灵	日本	32.0	2002
7.1	黑社会的墓场：腐朽之花	日本	33.0	1976
7.0	铁子之旅	日本	33.0	2007
6.5	福星小子 OVA 了子的九月茶会	日本	33.0	1986
6.0	小舞的魔法与家庭日	日本	33.0	2011
7.8	没有桥的河流	日本	33.0	1992
6.6	原子力戦争 Lost Love	日本	33.0	1978
7.6	めまい	日本	33.0	2001
7.8	冲动杀人 儿子呵！	日本	33.0	1979
6.2	女囚701室三怨歌	日本	33.0	1976
6.2	侍铳	日本	33.0	2004
6.3	男孩与猫	日本	33.0	1966
7.3	家族会议	日本	33.0	1936
8.3	津轻民谣	日本	33.0	1973
6.8	电影 FRESH光之美少女！玩具王国有很多秘密！？	日本	33.0	2009
6.6	起尾注	日本	33.0	1992
6.5	福星小子 OVA 愤怒的夏贝特	日本	33.0	1988
5.7	東京オンリーピック	日本	33.0	2008
5.7	スクリュー	日本	33.0	1982
7.2	机器人少女Z 第3.5话	日本	33.0	2014
5.5	初夏	日本	33.0	2006
6.7	BOX 袴田事件 命とは	日本	33.0	2010
