rate	title	country	rating_sum	year
6.9	美式	法国	25.0	2011
7.3	家庭事务	法国	25.0	2008
6.7	三个聪明人	法国	26.0	2001
6.4	奶奶的葬礼	法国	26.0	2012
7.0	屠杀的游戏	法国	27.0	1967
6.3	Le Maestro Do-mi-sol-do	法国	27.0	1906
6.2	Les Bulles de savon vivantes	法国	27.0	1906
6.6	我想我爱她	法国	27.0	2007
6.3	致命的过错	法国	28.0	2003
6.5	谢谢你，我很好	法国	28.0	2007
6.4	倒霉的摄影师	法国	28.0	1908
6.6	Le palais des mille et une nuits	法国	28.0	1905
6.9	奥托父子	法国	28.0	2007
6.3	La Douche d'eau bouillante	法国	29.0	1907
7.1	阿玛布老爹	法国	29.0	2007
5.2	征服者	法国	29.0	2013
6.5	两个秋天 三个冬天	法国	29.0	2013
7.0	同屋聚会	法国	29.0	2012
6.9	上流社会	法国	29.0	2014
6.4	马赛人	法国	30.0	2004
5.3	某男的第一份工作	法国	30.0	1908
7.4	天空会等待	法国	30.0	2016
4.8	F**K	法国	30.0	2015
6.3	Les illusions fantaisistes	法国	30.0	1910
5.9	重来16岁	法国	30.0	2013
7.8	谋杀时刻	法国	30.0	1956
7.3	D'Une Rare Crudité	法国	30.0	2010
5.0	巫山云雨	法国	30.0	2013
6.9	缅因海	法国	30.0	1986
5.9	冬之歌	法国	31.0	2015
6.2	姐妹同行	法国	31.0	2015
6.8	一生所求	法国	31.0	2011
6.7	告诉他我爱他	法国	31.0	1977
7.5	圣诞节会下雪吗？	法国	31.0	1996
7.3	爱情诸如此类	法国	31.0	1996
8.5	巴黎屋檐下	法国	31.0	2007
5.1	13平方米	法国	32.0	2007
6.6	里普的美丽传说	法国	32.0	1905
6.3	Jack le ramoneur	法国	32.0	1906
6.3	Les Fromages automobiles	法国	32.0	1907
8.2	国道7号	法国	32.0	2000
5.3	青涩的季节	法国	33.0	1984
7.0	幸福就在牧场	法国	33.0	1995
6.6	Ego	法国	33.0	2006
6.2	都市女孩	法国	33.0	2014
7.3	大革命之夏	法国	33.0	1989
7.3	达尼尔阿姨	法国	33.0	1990
7.3	你会想我的	法国	33.0	2009
6.5	卡萨诺瓦归来了	法国	33.0	1992
6.9	愿真主保佑法国	法国	33.0	2014
7.2	老调重弹	法国	34.0	1982
7.3	天涯海角	法国	34.0	1929
8.0	冬天的猴子	法国	34.0	1962
6.7	我的甜心	法国	34.0	2011
6.7	冬天的孩子	法国	34.0	1989
8.7	Miss Catastrophe	法国	34.0	1957
7.4	我们的地球朋友	法国	34.0	2006
7.3	邦克大饭店	法国	34.0	1989
5.5	不屈者	法国	34.0	2008
6.9	神秘的外来客	法国	34.0	2000
6.9	宝贝	法国	34.0	2003
6.3	夏日夫妻	法国	34.0	1990
7.0	劣货	法国	34.0	2003
8.3	会考风波	法国	34.0	1980
5.9	公主之谜	法国	35.0	2006
5.9	Canard à l'orange	法国	35.0	2002
6.9	奥雷莉亚·史坦尼（墨尔本）	法国	35.0	1979
6.5	汽车钥匙	法国	35.0	2003
6.4	移情失控	法国	35.0	2012
7.3	夜班	法国	35.0	2001
5.7	门多萨婚礼	法国	35.0	2011
6.9	孙子们	法国	35.0	2004
6.4	悭吝人	法国	35.0	1908
7.5	邻居	法国	35.0	2003
7.0	童男日记	法国	35.0	1968
7.4	地球某处	法国	36.0	2013
5.7	让-德-拉封丹的挑战	法国	36.0	2007
