rate	title	country	rating_sum	year
6.6	终身职位	美国	23.0	2009
8.0	Deacon's Dilemma	美国	24.0	1990
7.5	Marc Maron	美国	24.0	2013
7.2	彼得·艾伯特逊	美国	25.0	1935
5.5	春之苏醒	美国	26.0	2008
7.2	达科他女孩斯凯	美国	26.0	2008
6.0	动机	美国	26.0	2004
4.2	变性杀手	美国	27.0	2005
6.2	醉汉的婚礼	美国	27.0	2015
7.1	我的自杀	美国	27.0	2009
8.0	Death to the Tinman	美国	27.0	2007
6.1	不死之脑	美国	28.0	1962
6.1	Expelled	美国	28.0	2014
5.0	第三大道	美国	28.0	2013
6.8	托比乌龟回来了	美国	28.0	1936
6.6	寻觅爱情	美国	28.0	2006
5.2	鱼年	美国	28.0	2007
8.0	自由小骑士	美国	28.0	1996
6.6	家庭事务	美国	28.0	2001
6.9	终极手段	美国	28.0	1981
7.5	流放者	美国	28.0	1961
6.3	赦免	美国	29.0	2013
3.7	镜中魂	美国	29.0	1988
7.6	沉默的陷阱	美国	29.0	1994
5.0	我的丈夫是废柴	美国	29.0	2014
5.6	箱子里的女人	美国	29.0	2001
6.3	性S	美国	29.0	2008
7.3	骗局	美国	29.0	1946
7.1	Gone in 60 Seconds	美国	29.0	2000
4.5	天外飞叶	美国	29.0	2015
4.5	交易	美国	29.0	2016
6.3	缘起一吻	美国	30.0	2002
6.3	白衣幽魂	美国	30.0	1988
6.4	特务家族	美国	30.0	1993
6.0	恶魔玩具大对决	美国	30.0	1993
2.6	穿刺者	美国	30.0	2013
5.2	三人游戏	美国	30.0	2007
7.7	A Trip to Mars	美国	30.0	1924
6.8	走向西部	美国	30.0	1940
6.2	天才俱乐部	美国	30.0	2006
6.4	寻找罗拉	美国	30.0	1998
7.3	Security	美国	30.0	2007
6.5	鬼屋24小时	美国	30.0	1991
6.5	对彼之美的过度简化	美国	30.0	2012
6.3	类似父子情感	美国	30.0	2006
7.9	风滚草	美国	31.0	1999
3.5	神秘记号2：救赎	美国	31.0	2013
4.9	魔偶奇谭4 --邪神军团	美国	31.0	1993
7.3	风流寡妇	美国	31.0	1925
4.8	疯狂周末游	美国	31.0	2007
6.5	芳宛长春	美国	31.0	1949
8.4	搬家日	美国	31.0	1936
7.2	走出寒冷	美国	31.0	2001
6.7	草地上的男人	美国	31.0	2005
6.9	牙医的秘密生活	美国	31.0	2002
6.9	堕落边缘	美国	31.0	2004
7.4	家	美国	31.0	2008
4.0	拾荒杀手	美国	31.0	2013
6.2	倒霉命运	美国	31.0	2006
8.5	Estelle and the Movie Hero	美国	31.0	1916
6.3	大海之梦	美国	31.0	1997
7.8	Betty Boop and Grampy	美国	31.0	1935
6.1	香染石榴裙	美国	31.0	1950
8.3	桃李满门	美国	31.0	1967
6.9	加州王	美国	31.0	2008
6.4	宝贝男孩	美国	31.0	2001
4.1	Exeter	美国	31.0	2014
4.6	地球末日	美国	31.0	1997
8.0	处女	美国	31.0	2003
5.6	写作障碍	美国	32.0	2013
2.7	P-51大战纳粹飞龙	美国	32.0	2014
7.8	米奇的生日派对	美国	32.0	1942
7.2	圣诞的真谛	美国	32.0	1989
5.4	爱情一箩筐	美国	32.0	1990
4.1	病态女孩	美国	32.0	2007
4.1	战争之尘	美国	32.0	2013
6.4	两千狂人	美国	32.0	1964
8.1	在各方面	美国	32.0	1997
7.3	加里的速度	美国	32.0	1998
4.4	胚胎之内	美国	32.0	2016
6.2	不是今天	美国	32.0	2013
7.1	七号桌	美国	32.0	2010
7.6	月宫宝盒	美国	32.0	1943
5.0	活剥皮	美国	32.0	2008
7.1	边境小镇	美国	32.0	1935
7.8	蒙恩	美国	32.0	2008
3.3	地狱煞星	美国	32.0	2009
4.3	反恐精英之怒海争雄	美国	32.0	2001
6.1	初夏	美国	32.0	2013
5.8	格蕾丝不插电	美国	32.0	2013
4.5	回魂60天	美国	32.0	2006
7.0	钱的战争	美国	32.0	1955
5.5	无关年龄	美国	32.0	2013
5.0	惊恐	美国	32.0	2003
5.5	暴风猎人	美国	32.0	1998
7.0	摩天轮大血案	美国	32.0	1977
6.5	他们称之为罪	美国	32.0	1932
6.8	贝斯糗事	美国	32.0	2010
7.0	碧血溅长空	美国	32.0	1957
6.6	Ari Shaffir	美国	32.0	2015
6.5	周末风云	美国	32.0	1955
8.0	星期六晚上先生	美国	33.0	1992
5.3	血溅八步	美国	33.0	1995
6.3	阴谋	美国	33.0	1955
7.0	地狱市长	美国	33.0	1933
6.3	绿山之恋	美国	33.0	2005
8.1	Thanksgiving Prayer	美国	33.0	1991
7.7	Pablo	美国	33.0	2012
8.0	纽奥良之声	美国	33.0	1947
4.7	黄砖路	美国	33.0	2010
5.4	罗娜	美国	33.0	1964
6.9	潜艇小孩	美国	33.0	2015
5.0	神鬼帝国	美国	33.0	2005
3.3	灵动 纯情鬼影实录	美国	33.0	2013
7.6	下课后：过圣诞	美国	33.0	2001
5.4	吻我	美国	33.0	2012
6.8	2014年MTV电影颁奖礼	美国	33.0	2014
8.4	抢钱也疯狂	美国	33.0	1987
7.6	无条件的爱	美国	33.0	2002
6.8	大逃杀生还者	美国	33.0	2001
7.8	巨猩乔扬	美国	33.0	1949
6.9	Ari Shaffir	美国	33.0	2013
6.8	开路先锋	美国	33.0	1990
7.8	汉尼拔VS罗马	美国	33.0	2005
6.6	智力游戏	美国	33.0	2008
6.5	Julie Johnson	美国	33.0	2001
6.9	蛙人海底战	美国	33.0	1951
3.5	亡命徒	美国	33.0	2016
7.5	米奇的小象	美国	33.0	1936
7.0	内脏馅饼	美国	33.0	2007
6.4	她不笨，她是我老婆	美国	33.0	2002
3.8	神灵	美国	33.0	2014
6.5	走投无路	美国	33.0	2014
7.2	中国瓷盘	美国	33.0	1931
8.8	我为喜剧狂 直播秀	美国	33.0	2010
5.7	辣妹闯情关	美国	33.0	1998
6.9	人言可畏	美国	33.0	1951
6.4	痴情恨	美国	34.0	1959
6.7	旧爱	美国	34.0	1997
3.5	压轴戏	美国	34.0	2009
4.8	做白日梦的人	美国	34.0	2007
4.7	魔鬼的游乐场	美国	34.0	2006
6.7	飞镖冒险	美国	34.0	2006
4.9	工具箱杀手	美国	34.0	1978
6.7	冰上迪斯科	美国	34.0	2005
5.1	死亡之环	美国	34.0	2008
6.1	德·阿戈斯蒂诺	美国	34.0	2011
4.8	灵异杀镇	美国	34.0	2001
7.1	福米和坏运气的脚	美国	34.0	2006
6.3	蝶影乱花	美国	34.0	2014
3.4	突破山脉	美国	34.0	2006
3.4	食人巨兔	美国	34.0	2014
7.8	建房子	美国	34.0	1933
6.7	铁鹰战士	美国	34.0	1989
5.0	迷雾疑云	美国	34.0	2010
5.0	层峰命令	美国	34.0	1997
6.6	少女离家	美国	34.0	1987
6.3	午夜处刑人	美国	34.0	1983
6.0	姐妹双行之伦敦游	美国	34.0	2001
7.9	春宵金粉梦	美国	34.0	1983
5.5	圣诞宝贝	美国	34.0	2006
7.5	声波的转动者	美国	34.0	2001
6.8	最后的巡逻兵	美国	34.0	1934
7.6	蝙蝠	美国	34.0	1926
6.3	天使出差	美国	34.0	2008
7.0	记忆窃贼	美国	34.0	2007
5.3	霉菌战争	美国	34.0	2013
6.8	夏末	美国	34.0	2001
4.1	血色迷情	美国	34.0	2001
7.1	红衣主教	美国	34.0	1963
6.3	监狱风云录	美国	34.0	1974
6.9	盗情空间	美国	34.0	1946
6.5	夏娃	美国	34.0	2008
6.8	飞虎娇娃	美国	34.0	1958
4.0	灰石公园	美国	34.0	2012
4.3	斯丹顿山	美国	34.0	2009
6.2	再生惊魂	美国	34.0	1992
6.5	杀人电魔	美国	34.0	1988
6.1	爱普丽尔的洗礼	美国	34.0	2003
6.2	杀人网路	美国	34.0	2002
6.9	飞奔的大脑	美国	34.0	1995
4.3	紧急救援	美国	35.0	2010
6.5	After Words	美国	35.0	2015
6.5	Billy Blazes	美国	35.0	1919
6.9	拉拉生存十法则	美国	35.0	2002
5.7	昼短夜长	美国	35.0	2016
6.2	香槟女匪	美国	35.0	2006
6.8	年轻的爵士先生	美国	35.0	1919
8.6	秘密计划	美国	35.0	2013
7.5	情缘天定	美国	35.0	2000
7.5	胡迪尼传	美国	35.0	1953
7.4	美国梦魇	美国	35.0	1986
7.2	合理请求	美国	35.0	2015
8.4	往日情怀	美国	35.0	1994
8.2	世纪之案	美国	35.0	1996
6.9	夏日恋人	美国	35.0	1982
7.7	舐犊情深	美国	35.0	1931
7.3	你相信么？	美国	35.0	2015
4.0	霹雳娇娃前传之杰克的战队	美国	35.0	2009
7.3	战火迷情	美国	35.0	2006
7.3	永恒的爱	美国	35.0	1929
4.0	春色燃烬	美国	35.0	2012
6.4	神探警车	美国	35.0	1950
5.8	诱惑杀机	美国	35.0	2002
7.3	黑街杀手	美国	35.0	1996
5.4	失踪的妻子	美国	35.0	2012
9.2	难舍难分	美国	35.0	1992
6.4	黑帮大时代	美国	35.0	1992
5.7	大坝阴影	美国	35.0	2003
6.9	春闺怨	美国	35.0	1947
6.8	浴血狂沙	美国	35.0	1967
5.4	拉里·盖耶：一个叛变的男空乘员的故事	美国	35.0	2014
6.6	极致处男	美国	35.0	2005
7.6	Ringo	美国	35.0	2011
7.6	登龙有术	美国	35.0	1987
7.8	美国方式	美国	35.0	1962
7.3	恶梦	美国	35.0	1976
6.2	Bugcrush	美国	35.0	2006
8.1	大都会歌剧院2006年版《蝴蝶夫人》	美国	35.0	2009
6.3	啊哈 史酷比	美国	35.0	2005
7.2	黑月	美国	35.0	1934
7.1	请勿插嘴	美国	35.0	1958
6.7	绝路桥	美国	35.0	2009
7.1	符咒	美国	35.0	1980
3.5	海盗的遗产	美国	35.0	2016
6.3	四度	美国	35.0	2008
5.3	吸血鬼复仇记II	美国	35.0	1987
6.0	新生训练营	美国	35.0	2004
6.1	帽匠的学徒	美国	35.0	2009
4.8	最终时刻：耶路撒冷	美国	35.0	2009
4.7	Anna Nicole	美国	35.0	2013
5.6	復讐劍盲狼	美国	35.0	2009
7.5	当云匆匆消散时	美国	35.0	1919
7.5	我为君狂	美国	35.0	1999
6.3	福音	美国	35.0	2005
6.9	性，政治，鸡尾酒	美国	36.0	2002
6.3	琼楼旧梦话当年	美国	36.0	1981
6.1	萦绕心间	美国	36.0	2007
4.6	疯人院事件	美国	36.0	2011
5.0	血红溅白纱	美国	36.0	1980
4.2	知己	美国	36.0	2010
6.3	恋恋皮夹克	美国	36.0	1997
4.2	朱朱宠物	美国	36.0	2011
6.8	灯塔看守人	美国	36.0	2009
5.8	爱乔布斯	美国	36.0	2013
6.8	不知所踪	美国	36.0	2012
7.1	在我自毁之前	美国	36.0	2009
5.8	天妖归来	美国	36.0	1992
6.4	三对佳偶	美国	36.0	1932
3.2	秘密山庄	美国	36.0	2013
5.1	旷野孤雏	美国	36.0	2014
6.8	狐群狗党	美国	36.0	2000
5.6	American.Dirtbags	美国	36.0	2015
4.7	居住者	美国	36.0	2015
6.5	马拉松记	美国	36.0	1919
6.8	伟大之声	美国	36.0	2007
4.4	兄弟之战	美国	36.0	2009
4.5	酷刑室	美国	36.0	2007
7.5	耶稣魔法 Jesus Is Magic	美国	36.0	2005
6.6	Get Out and Get Under	美国	36.0	1920
6.5	披风男子	美国	36.0	1951
5.5	星际追杀	美国	36.0	1997
6.5	公路截杀	美国	36.0	1994
6.2	极速凶间	美国	36.0	1997
6.6	国际机场1979	美国	36.0	1979
6.9	粉笔	美国	36.0	2006
5.6	全赖我	美国	36.0	1997
8.0	情人和棒棒糖	美国	36.0	1956
5.0	日落之后	美国	36.0	2006
4.5	茧	美国	36.0	2014
3.8	恶兔要你命2	美国	37.0	2012
6.2	洁丽、哈里和拉科葛	美国	37.0	1970
5.8	尤物	美国	37.0	2001
3.5	魔鸟	美国	37.0	2006
6.2	马赛之路	美国	37.0	1944
4.7	后见之明	美国	37.0	2008
4.8	变形怪体	美国	37.0	1988
7.0	浪漫喜剧	美国	37.0	2010
7.8	Katt Williams Live	美国	37.0	2006
6.7	超越黑山	美国	37.0	2010
4.0	魔蝇的入侵	美国	37.0	2002
3.4	捉鬼成真爱	美国	37.0	2013
6.4	老爸知道	美国	37.0	2007
6.8	草竖琴	美国	37.0	1995
4.3	蛇机四伏	美国	37.0	2008
4.2	邪恶的保姆	美国	37.0	2016
7.3	个人速度	美国	37.0	2002
4.5	太阳的囚徒	美国	37.0	2013
8.4	BBC 欧洲伊斯兰简史	美国	37.0	2009
8.1	荒宅遗愿	美国	37.0	1981
6.7	偷心计划	美国	37.0	1996
6.8	红发美人	美国	37.0	1932
6.2	夏日奸兵	美国	37.0	1988
6.1	安慰	美国	37.0	2007
8.2	消防员	美国	37.0	1930
6.1	数字耶稣	美国	37.0	2005
6.0	乌龙绝配	美国	37.0	2001
6.1	洛城大地震	美国	37.0	1990
3.9	血性恶梦	美国	37.0	2008
7.6	第69届托尼奖	美国	37.0	2015
6.6	破晓黎明	美国	37.0	2004
5.5	无间特工	美国	37.0	2002
5.4	曼森家庭假日	美国	37.0	2014
5.6	杀机重重	美国	37.0	1991
5.7	军中红	美国	37.0	1953
7.6	夏日炸药	美国	37.0	2011
6.6	午夜玛丽	美国	37.0	1933
5.5	及时雨	美国	37.0	1946
5.5	黑名单	美国	37.0	1989
7.5	网中鱼	美国	37.0	2001
5.7	快乐神仙狗2	美国	37.0	1996
6.5	牧师女儿不愁嫁	美国	37.0	2010
5.3	三路狂奔	美国	37.0	2004
6.5	心灵深处	美国	37.0	1950
2.8	黑色眼镜蛇	美国	37.0	2012
