rate	title	country	rating_sum	year
7.9	希斯堡惨案	英国	23.0	1996
7.7	60 Minute Makeover	英国	23.0	2004
8.6	气候战争	英国	24.0	2008
7.9	幻术大师：老红帽	英国	25.0	1998
5.7	威文庄园之谜	英国	26.0	2000
7.4	幻术大师：馨香的房间	英国	26.0	1998
8.6	贝多芬 歌剧《费德里奥》	英国	26.0	1990
7.4	幻术大师：时间等人	英国	27.0	1998
8.5	歌剧 卡门	英国	27.0	2011
7.0	幻术大师：骷髅之舞	英国	28.0	1998
8.3	幻术大师：角力者的坟墓	英国	28.0	1997
7.0	杀手中间人	英国	28.0	2001
8.4	愤怒回首	英国	29.0	1989
6.5	沙普的挑战	英国	29.0	2006
7.4	唐璜艳史	英国	29.0	1934
5.4	红衣战士	英国	29.0	1998
7.7	Greyfriars Bobby	英国	29.0	2005
7.0	爱无定意	英国	29.0	2005
8.3	超时空漫游	英国	29.0	1987
8.3	BBC 野外游泳	英国	29.0	2010
7.0	奇妙的一天	英国	30.0	2006
8.6	同窗噩梦	英国	30.0	1996
7.4	别忘记我	英国	30.0	2010
4.8	美味	英国	31.0	2013
7.6	The Bad Mother's Handbook	英国	31.0	2007
8.3	拳王阿里的伟大一役	英国	31.0	2013
7.9	The Royal Wedding	英国	31.0	2011
6.8	赤裸的真空天堂	英国	32.0	2001
7.6	好兵	英国	32.0	1981
7.9	Ricky Gervais Live 3	英国	32.0	2007
7.7	“牛蛙”布朗克	英国	32.0	1969
7.5	海蒂	英国	33.0	2005
8.5	神圣的飞翔马戏团	英国	33.0	2011
6.4	死婴	英国	33.0	2000
5.8	狼兄鼠弟	英国	33.0	1993
7.6	Tooty's Wedding	英国	33.0	2010
6.9	阻止我杀人	英国	33.0	1960
9.4	麦克.布雷见面会	英国	33.0	2010
8.2	工作中的皇室	英国	33.0	2007
5.4	我是大佬	英国	33.0	2010
6.9	玛戈特	英国	33.0	2009
8.1	波利安娜	英国	33.0	2003
9.0	吉米·卡尔：欢脱	英国	33.0	2011
6.3	鳗鱼	英国	34.0	2004
7.3	转瓶游戏	英国	34.0	2002
9.2	怪鱼	英国	34.0	1993
4.2	白领流氓3	英国	34.0	2014
6.3	四签名	英国	34.0	1968
5.3	玛丽·塞利斯特的秘密	英国	34.0	1935
6.9	Just Henry	英国	34.0	2011
6.5	Erection	英国	34.0	1971
5.4	静止	英国	34.0	2009
8.8	发现之旅系列	英国	35.0	2006
6.4	乔安娜	英国	35.0	1968
6.9	摇摇欲坠	英国	35.0	1988
8.7	补标大胖考 2010	英国	35.0	2010
6.6	在巨人中间	英国	35.0	1998
6.4	滴答摇篮曲	英国	35.0	2007
8.2	沙普的步枪队	英国	35.0	1993
7.0	懦夫与怪物	英国	35.0	2010
8.4	Ricky Gervais Live 2	英国	35.0	2004
7.7	刘易斯探案：遥远的不聿	英国	35.0	2011
7.0	青蛙王子	英国	35.0	1954
8.5	刘易斯探案：爱情尽头	英国	36.0	2009
7.6	阿拉丁和神灯	英国	36.0	1954
6.1	鱼的故事	英国	36.0	2007
5.4	投情取巧	英国	36.0	2012
7.1	重铸地貌	英国	36.0	1978
6.4	断线	英国	36.0	2008
4.7	铁拳黑雾	英国	37.0	2012
6.2	死亡竞赛	英国	37.0	2009
8.4	生命不息	英国	37.0	1990
6.1	恐怖岛	英国	37.0	1966
7.2	Colour Cry	英国	37.0	1952
7.8	害虫	英国	37.0	2008
7.5	鼠吼奇谈	英国	37.0	1959
8.7	The Many Lives of William Klein	英国	37.0	2012
6.5	地狱是一座城市	英国	37.0	1960
7.8	战火已起	英国	37.0	1943
7.1	王牌飞行员	英国	38.0	1976
5.9	来生多美好	英国	38.0	2010
7.2	艺人	英国	38.0	1960
6.6	害怕坠落的男人	英国	38.0	2011
6.5	杀人狂魔	英国	38.0	1963
8.1	刘易斯探案：恐惧之殇	英国	38.0	2013
6.7	俄国女王	英国	38.0	1934
6.2	地狱圣女	英国	39.0	1945
9.0	The Big Fat Quiz of the Year (2011)	英国	39.0	2011
5.2	黑暗浪潮	英国	39.0	2016
5.7	狼人的诅咒	英国	39.0	1961
5.3	神迹透视	英国	39.0	2006
6.7	变化	英国	39.0	2008
5.7	阳光明媚的日子	英国	39.0	2012
6.8	火力	英国	39.0	1979
5.1	变蝇人的诅咒	英国	39.0	1965
7.9	天伦梦醒	英国	39.0	1988
7.8	蝴蝶夫人	英国	39.0	2011
8.3	Flex	英国	39.0	2000
6.9	飞翔的鲸鱼	英国	39.0	1983
8.3	Scummy Man	英国	40.0	2006
7.2	My Penis And I	英国	40.0	2005
8.0	如何激怒别人	英国	40.0	1969
7.6	高个子	英国	40.0	1989
8.7	Jamie at Home Christmas Special	英国	40.0	2007
4.6	血腥之手	英国	40.0	1971
6.4	驾校故事	英国	40.0	2007
8.3	刘易斯探案：天才的灵魂	英国	40.0	2012
8.2	刘易斯探案：浪子回头	英国	40.0	2013
7.6	穿靴子的猫	英国	40.0	1954
7.7	人望低处	英国	41.0	1997
9.0	Comic Relief 2009	英国	41.0	2009
6.8	Stolen Apples for Karen Blixen	英国	41.0	1973
4.4	冷血	英国	41.0	2007
8.9	James May的太空边缘之旅	英国	41.0	2009
6.6	景中人	英国	41.0	1970
7.8	One of the Missing	英国	41.0	1969
7.6	地平线 总统科学指南	英国	41.0	2008
9.4	Penn & Teller	英国	41.0	2010
7.6	Euston Road	英国	41.0	2004
6.7	迷魂索	英国	41.0	2002
7.9	刘易斯探案：老友重逢	英国	42.0	2007
6.8	Aerial	英国	42.0	1974
4.8	插入	英国	42.0	1975
5.6	The Crane	英国	42.0	1994
6.1	尘土之国	英国	42.0	2010
5.8	Pib and Pog	英国	42.0	1995
7.7	别夺走我的孩子	英国	42.0	2015
6.5	正午前七天	英国	42.0	1950
6.8	蒼蠅拍拍拍	英国	42.0	2010
8.6	英国女王登基50周年音乐会	英国	42.0	2002
8.3	刘易斯探案：冬日之死	英国	42.0	2010
8.2	通往平利可的护照	英国	43.0	1949
6.5	本性	英国	43.0	1999
6.2	雀斑男孩	英国	43.0	2014
7.6	柯特·科本的最后48小时	英国	43.0	2007
7.6	鬼迷心窍	英国	43.0	1949
8.2	铁路少年	英国	43.0	2000
7.0	威彻尔先生的猜疑：表象之下	英国	43.0	2014
5.7	伦敦稚恋	英国	43.0	2016
7.8	分裂	英国	43.0	1987
7.9	圣诞欢歌	英国	43.0	1970
7.3	傀儡家庭	英国	43.0	1973
8.7	Dream Team-Coupe de Foudre	英国	43.0	2004
7.7	Meadow of Weeds	英国	44.0	2013
4.8	拯救	英国	44.0	2009
7.3	Mumbo Jumbo	英国	44.0	2005
5.9	狂喜的幻象	英国	44.0	1989
6.5	夜行人	英国	44.0	1971
4.7	伦敦黑帮	英国	44.0	2003
6.5	黑吃黑	英国	44.0	2000
6.4	女巫猎人	英国	44.0	1968
9.1	N[eon]	英国	44.0	2002
8.4	刘易斯探案：爱情寓言	英国	44.0	2009
8.3	刘易斯探案：反文化蓝调	英国	44.0	2009
8.7	英国皇家歌剧院现场：托斯卡	英国	44.0	2011
5.8	Playmaker	英国	45.0	1994
7.6	死亡与变形	英国	45.0	1983
7.3	深陷泥潭	英国	45.0	2010
5.5	来自地狱的弗兰肯斯坦与怪物	英国	45.0	1974
6.8	The Wooden Leg	英国	45.0	1994
7.1	网络暴力	英国	45.0	2015
6.7	守夜	英国	45.0	1973
7.4	霓虹宝典	英国	45.0	1995
7.0	恶魔虚像	英国	46.0	1970
7.8	少年	英国	46.0	1976
6.8	昏暗海港	英国	46.0	2014
7.4	Ready When You Are	英国	46.0	2003
4.6	莱斯利	英国	46.0	2016
7.1	金色年华	英国	46.0	2016
7.9	君子协定	英国	46.0	2003
7.4	分秒不差	英国	46.0	1986
7.1	巫山梦断	英国	46.0	1955
5.5	亿万头脑	英国	46.0	1967
6.7	Kill the Day	英国	46.0	1996
6.7	四十八小时	英国	46.0	1942
3.3	僵尸日记	英国	46.0	2006
6.2	花火	英国	46.0	2007
6.4	河边的故事	英国	46.0	2008
6.6	大饭店	英国	47.0	2001
7.8	The Miserables	英国	47.0	2010
7.8	我是汤姆·穆迪	英国	47.0	2012
7.0	被遗忘的玩具	英国	47.0	1995
8.2	莎拉·布莱曼 经典演唱会	英国	47.0	1998
9.6	阿森纳：年轻枪手 - 2006/2007赛季回顾	英国	47.0	2007
7.7	血字的研究	英国	47.0	1968
7.1	不列颠上空的堡垒	英国	47.0	2014
8.2	Doctor Who -The Five Doctors (20th Anniversary Special)	英国	47.0	1983
6.3	露露修女	英国	47.0	2001
7.4	迷墙	英国	47.0	1968
5.6	逃狱者	英国	48.0	2001
7.3	牛津风云	英国	48.0	1938
7.5	1500词	英国	48.0	2016
4.4	异类战神	英国	48.0	2014
6.8	理想警察	英国	48.0	1962
5.0	娜塔莎	英国	48.0	2007
6.6	香港路	英国	48.0	1962
8.3	战争白皮书	英国	48.0	2014
9.5	阿森纳2009/2010赛季回顾	英国	48.0	2010
7.6	梦童	英国	48.0	1985
7.5	难补情天恨	英国	48.0	1979
4.9	迷途狗	英国	49.0	2005
8.0	那般良夜	英国	49.0	2017
6.2	塑料	英国	49.0	2014
5.8	隐居	英国	49.0	2008
6.7	理想丈夫	英国	49.0	1998
7.1	摩斯探长：众灵之祷	英国	49.0	1987
7.5	生死极速	英国	49.0	2012
7.6	好日子	英国	49.0	2005
6.9	东西柏林间谍战	英国	50.0	1968
6.9	古堡惊魂	英国	50.0	1897
9.3	霍洛维茨伦敦钢琴独奏会	英国	50.0	1982
8.5	最后一次探望	英国	50.0	2009
8.9	Leave the World Behind	英国	50.0	2014
8.3	老爷车	英国	50.0	1953
9.6	阿森纳2008/2009赛季回顾	英国	50.0	2009
6.9	麦克白	英国	50.0	1997
6.7	207房	英国	50.0	1998
