rate	title	country	rating_sum	year
5.2	城市告白	香港	27.0	2014
8.0	豆蔻年华	香港	28.0	1959
7.5	金兰姐妹	香港	29.0	1954
8.4	Dirty Work	香港	30.0	1992
6.1	欲望号列车	香港	31.0	2000
7.2	慢性中毒	香港	32.0	2009
5.7	喋血江湖	香港	32.0	1990
6.2	叠影杀机	香港	32.0	2001
4.2	热血刑警	香港	33.0	2001
6.5	秋雨春心	香港	33.0	1969
5.9	暴发户	香港	33.0	1979
4.5	铁男本色	香港	33.0	2000
5.9	金色年华	香港	34.0	1969
5.7	迷情特警	香港	34.0	1995
6.5	阿牛出狱记	香港	34.0	1976
5.0	最后通牒	香港	35.0	2001
5.4	神探干湿褛	香港	35.0	1993
6.2	两小无知	香港	36.0	1981
6.9	血染红尘	香港	36.0	1992
6.8	玉楼三凤	香港	36.0	1960
7.1	兰屿之歌	香港	36.0	1965
6.3	愛的教育	香港	36.0	1961
5.8	红粉至尊	香港	36.0	1991
5.8	喜相逢	香港	36.0	1960
5.5	爱人女神	香港	36.0	1982
6.2	追女重案组	香港	36.0	1989
6.2	血在风上	香港	37.0	1990
5.8	夹心沙展	香港	37.0	1984
7.1	巡捕房	香港	37.0	1980
7.0	大风浪	香港	37.0	1976
6.2	贼公计	香港	37.0	1975
6.2	玫瑰我爱你	香港	37.0	1966
4.9	少女集中营	香港	37.0	1984
5.5	三女性	香港	37.0	1947
5.2	缘份新天空	香港	37.0	1994
3.0	性在够辣	香港	37.0	2003
6.5	水月门	香港	37.0	1978
7.6	深宫怨	香港	38.0	1964
5.3	美人计	香港	38.0	1961
5.2	大太监	香港	38.0	1976
4.9	泪眼杀星之八百龙兵团	香港	38.0	2001
6.5	风头人物	香港	38.0	1977
3.0	赌皇斗赌后	香港	38.0	1996
8.2	误佳期	香港	38.0	1951
7.6	阳性反应	香港	38.0	1998
7.3	昨天今天明天	香港	38.0	1970
5.4	冬去春来	香港	38.0	1950
4.6	同床2梦	香港	39.0	1994
6.9	广岛廿八	香港	39.0	1974
4.5	重案实录之污点证人	香港	39.0	1995
5.6	狐天狐地	香港	39.0	1976
3.4	古惑仔之黑道人渣	香港	39.0	2001
4.4	七条命	香港	39.0	2000
7.4	风雪夜归人	香港	39.0	1948
4.9	野性的邂逅	香港	39.0	1995
5.4	新义本无言	香港	39.0	1992
4.7	飞虎雄师之再战江湖	香港	39.0	2003
5.5	太极拳	香港	39.0	1985
7.1	夫妻经	香港	39.0	1958
5.7	浪子燕青	香港	39.0	1984
7.2	同床异梦	香港	39.0	1960
