rate	title	country	rating_sum	year
7.8	另一个我	中国大陆	28.0	2012
6.3	缉毒队	中国大陆	29.0	2007
6.9	铁枪金喉	中国大陆	29.0	2013
7.0	绿绒蒿	中国大陆	29.0	2013
5.4	阿勇	中国大陆	29.0	1975
6.7	大侠甘凤池	中国大陆	29.0	1928
5.7	虎头要塞之舌头	中国大陆	29.0	2010
6.4	濠河边上的女人	中国大陆	29.0	2009
4.1	悬空12小时	中国大陆	29.0	2011
6.6	谁家有女	中国大陆	29.0	2008
7.9	阳光笑脸	中国大陆	30.0	2010
7.0	TV小子	中国大陆	30.0	2001
7.5	塔瓦镇上的德吉	中国大陆	30.0	2010
3.9	她她他	中国大陆	30.0	2015
4.7	许世友出拳	中国大陆	30.0	2003
2.9	新桃色交易	中国大陆	31.0	2013
6.8	葵花朵朵	中国大陆	31.0	2005
4.4	武当龙影	中国大陆	31.0	2008
6.2	虎头要塞之蓝色七号	中国大陆	31.0	2011
7.2	宝贝	中国大陆	31.0	2013
7.7	斑点	中国大陆	32.0	2008
5.1	海上明珠	中国大陆	32.0	1976
4.0	虎头要塞之牺牲	中国大陆	32.0	2010
7.6	暖伤	中国大陆	32.0	2010
6.2	彩凤双飞	中国大陆	32.0	1951
7.3	童年往事	中国大陆	32.0	1985
6.3	法官老张轶事之倔萝卜	中国大陆	32.0	2009
7.6	斩经堂	中国大陆	33.0	1937
4.0	少年邓恩铭	中国大陆	33.0	2011
5.1	梨园将军	中国大陆	33.0	2016
5.2	六扇门之绝战	中国大陆	33.0	2015
6.7	民主青年进行曲	中国大陆	33.0	1950
7.3	渡口	中国大陆	34.0	2012
7.1	小白兔	中国大陆	34.0	1954
3.3	如临大婚	中国大陆	34.0	2013
6.1	侠侣探案系列之绝命黄历	中国大陆	34.0	2007
5.7	永在	中国大陆	34.0	2011
7.8	胜岚的秘密花园	中国大陆	34.0	2015
6.7	索伦河谷的枪声	中国大陆	34.0	1985
7.7	红色年代	中国大陆	34.0	2001
7.5	聆听寂静	中国大陆	34.0	2009
7.7	有她的地方	中国大陆	34.0	2008
4.5	六扇门之忠义烽火	中国大陆	34.0	2015
6.2	弹无虚发之天国宝藏	中国大陆	34.0	2012
8.3	火焰山	中国大陆	34.0	1983
6.1	流浪猫	中国大陆	34.0	2016
6.7	太阳开花	中国大陆	34.0	2011
7.0	刺眼的阳光	中国大陆	35.0	2013
8.8	双面菲克雷特	中国大陆	35.0	2012
6.9	转校生	中国大陆	35.0	2009
3.2	秘笈追踪	中国大陆	35.0	2009
6.6	山神	中国大陆	35.0	1992
6.2	遇见卡利	中国大陆	35.0	2013
5.7	双头鹰之谜	中国大陆	35.0	1987
6.6	关中刀客之虎头	中国大陆	35.0	2003
5.7	被单骑士	中国大陆	35.0	2012
7.0	启功轶事	中国大陆	35.0	2014
7.7	半象门	中国大陆	35.0	2012
3.7	诱惑	中国大陆	35.0	2005
5.5	秘闯金三角	中国大陆	36.0	1988
6.8	下一站 友谊路	中国大陆	36.0	2008
7.6	快乐老家	中国大陆	36.0	1998
5.8	国宝迷踪	中国大陆	36.0	2007
8.2	麻	中国大陆	36.0	2009
4.7	黄金日记	中国大陆	36.0	2014
6.4	中国的“小皇帝”	中国大陆	36.0	1987
6.8	画未名	中国大陆	36.0	2013
4.5	A小姐	中国大陆	36.0	2015
7.0	关中刀客之鹞子龙五	中国大陆	36.0	2003
7.2	11岁	中国大陆	36.0	2000
7.5	比奇镇的邮递员	中国大陆	36.0	2014
7.1	广州故事	中国大陆	36.0	1995
4.6	飞越山海关	中国大陆	37.0	2011
6.6	战斗里成长	中国大陆	37.0	1957
7.0	踮起脚的吻	中国大陆	37.0	2015
7.2	不可饶恕	中国大陆	37.0	2014
3.5	大女侠与小郎中	中国大陆	37.0	2013
4.8	换个活法	中国大陆	37.0	2016
6.9	蓝山	中国大陆	37.0	2011
4.3	舞魅青春	中国大陆	37.0	2011
3.9	八戒归来	中国大陆	37.0	2016
7.0	山道弯弯	中国大陆	37.0	1982
6.9	东北，东北	中国大陆	37.0	2009
7.3	对荣耀的管理	中国大陆	37.0	2014
6.3	结婚指标	中国大陆	37.0	2014
7.6	魔盒	中国大陆	37.0	2016
7.3	小太阳	中国大陆	37.0	1963
4.8	救赎	中国大陆	38.0	2011
4.3	鱼肠剑	中国大陆	38.0	2012
6.4	私奔公路	中国大陆	38.0	2015
5.5	小丫头子	中国大陆	38.0	2010
8.2	如果	中国大陆	38.0	2011
6.6	下流诗歌	中国大陆	38.0	2008
5.4	走出硝烟的女神	中国大陆	38.0	2000
5.5	绞索下的交易	中国大陆	38.0	1985
5.2	夺宝记	中国大陆	38.0	2007
3.9	路谱	中国大陆	38.0	2013
6.0	那座山	中国大陆	38.0	2014
6.9	太阳雨	中国大陆	38.0	1987
5.4	老万加油	中国大陆	38.0	2012
5.1	碧海红波	中国大陆	38.0	1975
6.1	青年鲁班	中国大陆	38.0	1964
6.6	豆汁店·咖啡馆	中国大陆	38.0	2005
7.1	深呼吸	中国大陆	38.0	2012
5.1	黑井往事	中国大陆	38.0	2012
4.7	迷情真相	中国大陆	38.0	2013
5.2	缉毒	中国大陆	39.0	2014
5.9	大淫隐于市	中国大陆	39.0	2013
7.9	捐赠者	中国大陆	39.0	2016
3.7	第101场婚礼	中国大陆	39.0	2012
2.6	欲无罪	中国大陆	39.0	2014
3.4	保持清醒	中国大陆	39.0	2015
5.6	远山	中国大陆	39.0	2007
3.9	烈火男儿之荣誉	中国大陆	39.0	2008
5.5	女明星秘史	中国大陆	39.0	1989
2.8	达人也疯狂	中国大陆	39.0	2013
2.8	热武青春	中国大陆	39.0	2014
3.7	恶魔之牙	中国大陆	39.0	2016
7.1	山林中头一个女人	中国大陆	39.0	1986
5.5	亮相	中国大陆	39.0	2007
6.6	骑士风云	中国大陆	39.0	1990
5.4	初夜	中国大陆	39.0	2013
5.4	天国恩仇	中国大陆	39.0	1986
7.6	夏天的拉花	中国大陆	39.0	2013
4.2	三审奇石	中国大陆	39.0	2012
5.8	西域响马	中国大陆	39.0	1995
6.6	浴血太行	中国大陆	40.0	1996
5.3	大自鸣钟2作家	中国大陆	40.0	2012
6.3	月圆今宵	中国大陆	40.0	2001
6.6	李知凡太太	中国大陆	40.0	1999
7.1	凤山村的孩子	中国大陆	40.0	2011
6.9	无形的战线	中国大陆	40.0	1949
5.0	致命追击	中国大陆	40.0	2009
6.4	戛洒往事	中国大陆	40.0	2012
7.9	打金枝	中国大陆	40.0	1955
6.8	辣嫂	中国大陆	40.0	2010
6.3	直奉大战	中国大陆	40.0	1986
5.4	蚂蚁的梦想	中国大陆	40.0	2013
6.5	神眼之金面具	中国大陆	40.0	2013
5.4	大凉山传奇	中国大陆	40.0	1988
6.5	吕梁英雄	中国大陆	40.0	1950
5.1	疑路邂逅	中国大陆	41.0	2015
5.4	咱们的工会主席	中国大陆	41.0	2012
6.4	黑山阻击战	中国大陆	41.0	1958
6.5	共和国不会忘记	中国大陆	41.0	1988
6.2	这辈子再也不会做的事	中国大陆	41.0	2012
4.7	虎头要塞之最后决战	中国大陆	41.0	2010
5.1	侠侣探案系列之杜鹃啼血	中国大陆	41.0	2007
3.7	陪我	中国大陆	41.0	2015
8.9	红娘	中国大陆	41.0	1981
2.5	霸道总裁别惹我	中国大陆	41.0	2015
3.2	少女夜蒲	中国大陆	41.0	2016
6.5	彼端	中国大陆	41.0	2014
4.1	狭路年三十儿	中国大陆	41.0	2012
5.8	女刺客	中国大陆	41.0	1988
4.1	乒乓侠	中国大陆	41.0	2016
5.1	警魂之命悬一线	中国大陆	41.0	2016
7.9	基因之战	中国大陆	41.0	2002
4.9	天上人	中国大陆	41.0	2010
7.1	玻璃湖	中国大陆	41.0	2011
3.4	午夜讲诡故事	中国大陆	42.0	2015
4.4	犹太女孩在上海	中国大陆	42.0	2010
5.8	战火中的伤情	中国大陆	42.0	2010
3.3	刺杀吉川	中国大陆	42.0	2013
3.7	等你爱我	中国大陆	42.0	2016
4.5	危情直播	中国大陆	42.0	2007
7.0	夺子	中国大陆	42.0	2003
7.4	次元	中国大陆	42.0	2013
3.5	美女总裁的贴身高手	中国大陆	42.0	2015
6.9	牧牛童	中国大陆	42.0	2012
5.3	神警天降	中国大陆	42.0	1998
4.4	牛奶时尚	中国大陆	42.0	2007
7.6	好夫妻	中国大陆	42.0	1948
8.4	望江亭	中国大陆	42.0	1958
3.0	如果没有你	中国大陆	42.0	2013
6.9	青春似火	中国大陆	42.0	1976
6.3	蔚蔚之歌	中国大陆	42.0	2011
6.5	无聊青年	中国大陆	42.0	2000
3.9	天堂的音符	中国大陆	42.0	2013
7.4	黑夜白天出租车	中国大陆	42.0	2011
7.6	给咖啡加点糖	中国大陆	42.0	1987
6.6	我坚强的小船	中国大陆	42.0	2008
